keyword,category,region,date,interest_value,day_of_week,is_holiday,holiday_name,year,month,week,day,dayofweek,is_weekend
beasiswa,Education & Career,ID,2025-09-21,80,Sunday,False,,2025,9,38,21,6,True
beasiswa,Education & Career,ID,2025-09-22,93,Monday,False,,2025,9,39,22,0,False
beasiswa,Education & Career,ID,2025-09-23,89,Tuesday,False,,2025,9,39,23,1,False
beasiswa,Education & Career,ID,2025-09-24,89,Wednesday,False,,2025,9,39,24,2,False
beasiswa,Education & Career,ID,2025-09-25,86,Thursday,False,,2025,9,39,25,3,False
beasiswa,Education & Career,ID,2025-09-26,93,Friday,False,,2025,9,39,26,4,False
beasiswa,Education & Career,ID,2025-09-27,84,Saturday,False,,2025,9,39,27,5,True
beasiswa,Education & Career,ID,2025-09-28,80,Sunday,False,,2025,9,39,28,6,True
beasiswa,Education & Career,ID,2025-09-29,88,Monday,False,,2025,9,40,29,0,False
beasiswa,Education & Career,ID,2025-09-30,95,Tuesday,False,,2025,9,40,30,1,False
beasiswa,Education & Career,ID,2025-10-01,100,Wednesday,False,,2025,10,40,1,2,False
beasiswa,Education & Career,ID,2025-10-02,96,Thursday,False,,2025,10,40,2,3,False
beasiswa,Education & Career,ID,2025-10-03,89,Friday,False,,2025,10,40,3,4,False
beasiswa,Education & Career,ID,2025-10-04,86,Saturday,False,,2025,10,40,4,5,True
beasiswa,Education & Career,ID,2025-10-05,80,Sunday,False,,2025,10,40,5,6,True
beasiswa,Education & Career,ID,2025-10-06,91,Monday,False,,2025,10,41,6,0,False
beasiswa,Education & Career,ID,2025-10-07,88,Tuesday,False,,2025,10,41,7,1,False
beasiswa,Education & Career,ID,2025-10-08,79,Wednesday,False,,2025,10,41,8,2,False
beasiswa,Education & Career,ID,2025-10-09,79,Thursday,False,,2025,10,41,9,3,False
beasiswa,Education & Career,ID,2025-10-10,78,Friday,False,,2025,10,41,10,4,False
beasiswa,Education & Career,ID,2025-10-11,62,Saturday,False,,2025,10,41,11,5,True
beasiswa,Education & Career,ID,2025-10-12,68,Sunday,False,,2025,10,41,12,6,True
beasiswa,Education & Career,ID,2025-10-13,80,Monday,False,,2025,10,42,13,0,False
beasiswa,Education & Career,ID,2025-10-14,78,Tuesday,False,,2025,10,42,14,1,False
beasiswa,Education & Career,ID,2025-10-15,87,Wednesday,False,,2025,10,42,15,2,False
beasiswa,Education & Career,ID,2025-10-16,75,Thursday,False,,2025,10,42,16,3,False
beasiswa,Education & Career,ID,2025-10-17,74,Friday,False,,2025,10,42,17,4,False
beasiswa,Education & Career,ID,2025-10-18,72,Saturday,False,,2025,10,42,18,5,True
beasiswa,Education & Career,ID,2025-10-19,71,Sunday,False,,2025,10,42,19,6,True
beasiswa,Education & Career,ID,2025-10-20,80,Monday,False,,2025,10,43,20,0,False
beasiswa,Education & Career,ID,2025-10-21,77,Tuesday,False,,2025,10,43,21,1,False
beasiswa,Education & Career,ID,2025-10-22,80,Wednesday,False,,2025,10,43,22,2,False
beasiswa,Education & Career,ID,2025-10-23,82,Thursday,False,,2025,10,43,23,3,False
beasiswa,Education & Career,ID,2025-10-24,84,Friday,False,,2025,10,43,24,4,False
beasiswa,Education & Career,ID,2025-10-25,69,Saturday,False,,2025,10,43,25,5,True
beasiswa,Education & Career,ID,2025-10-26,72,Sunday,False,,2025,10,43,26,6,True
beasiswa,Education & Career,ID,2025-10-27,81,Monday,False,,2025,10,44,27,0,False
beasiswa,Education & Career,ID,2025-10-28,81,Tuesday,False,,2025,10,44,28,1,False
beasiswa,Education & Career,ID,2025-10-29,83,Wednesday,False,,2025,10,44,29,2,False
beasiswa,Education & Career,ID,2025-10-30,93,Thursday,False,,2025,10,44,30,3,False
beasiswa,Education & Career,ID,2025-10-31,85,Friday,False,,2025,10,44,31,4,False
beasiswa,Education & Career,ID,2025-11-01,72,Saturday,False,,2025,11,44,1,5,True
beasiswa,Education & Career,ID,2025-11-02,67,Sunday,False,,2025,11,44,2,6,True
beasiswa,Education & Career,ID,2025-11-03,80,Monday,False,,2025,11,45,3,0,False
